iter	Logloss
2920	0.2293718775
2921	0.2293713199
2922	0.2293684845
2923	0.2293673965
2924	0.2293606575
2925	0.2293555213
2926	0.229352109
2927	0.2293513836
2928	0.2293488538
2929	0.229345149
2930	0.2293429716
2931	0.2293381535
2932	0.2293375001
2933	0.2293283525
2934	0.2293261104
2935	0.2293236962
2936	0.2293219009
2937	0.2293198923
2938	0.2293119243
2939	0.2293081429
2940	0.2293043647
2941	0.2293012001
2942	0.2292963542
2943	0.2292927268
2944	0.2292894389
2945	0.2292828655
2946	0.2292794624
2947	0.2292771755
2948	0.2292742974
2949	0.2292688174
2950	0.2292650144
2951	0.2292619319
2952	0.2292579865
